lr,hidden_dim,batch_size,best_loss,accuracy
0.001,128,128,0.29823820971989934,0.62686
0.001,128,128,0.2941237805010397,0.62908
0.001,128,128,0.29823820971989934,0.62686
0.001,128,256,0.2981874529272318,0.6273
0.001,256,128,0.29823820971989934,0.62686
0.001,256,256,0.2981874529272318,0.6273
0.001,512,128,0.29823820971989934,0.62686
0.001,512,256,0.2981874529272318,0.6273
0.0005,128,128,0.30679032885575597,0.62808
0.0005,128,256,0.29776419438421725,0.6281
0.0005,256,128,0.30679032885575597,0.62808
0.0005,256,256,0.29776419438421725,0.6281
0.0005,512,128,0.30679032885575597,0.62808
0.0005,512,256,0.29776419438421725,0.6281
0.0001,128,128,0.30300509571274625,0.62772
0.0001,128,256,0.3002808500081301,0.6267
0.0001,256,128,0.30300509571274625,0.62772
0.0001,256,256,0.3002808500081301,0.6267
0.0001,512,128,0.30300509571274625,0.62772
0.0001,512,256,0.3002808500081301,0.6267
